Test Case Identifier,Test Execution,Status,Comment,Requirement
"TC-ORI-936-CT-CPT-11","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Se connecter avec un utilisateur habilite"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-936"
"TC-ORI-936-CT-CPT-12","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Comparer l'ecran a la maquette (colonnes, ordre, boutons)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-936"
"TC-ORI-936-CT-CPT-13","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Relever toutes les colonnes"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-936"
"TC-ORI-956-CT-ABH-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/4","ORI-956"
"TC-ORI-956-CT-ABH-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Corriger la date fin a 10/06"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Laisser heure fin vide"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Laisser heure debut vide"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter d'enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter d'enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter d'enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cas existante Exclusivite=Non"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-09","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter d'enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-10","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter d'enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-11","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cas avec ferie chome dans la periode (13-15/07)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-12","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Comparer avec un collaborateur en droit commun"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-13","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 5/5, assertions 0/5","ORI-956"
"TC-ORI-956-CT-ABH-14","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter d'enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-15","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cas date debut = date fin"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-956-CT-ABH-16","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter d'enregistrer"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-956"
"TC-ORI-1356-CT-VIS-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/2","ORI-1356"
"TC-ORI-1356-CT-VIS-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur l'icone telechargement d'un document"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1356"
"TC-ORI-1356-CT-VIS-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur 'A Valider'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1356"
"TC-ORI-1356-CT-VIS-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur 'A Valider'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1356"
"TC-ORI-1356-CT-VIS-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur 'A annuler'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1356"
"TC-ORI-1356-CT-VIS-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 5/5, assertions 0/4","ORI-1356"
"TC-ORI-1356-CT-VIS-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/3","ORI-1356"
"TC-ORI-1356-CT-VIS-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur FERMER"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1356"
"TC-ORI-745-CT-UX-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 5/5, assertions 0/3","ORI-745"
"TC-ORI-745-CT-UX-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/3","ORI-745"
"TC-ORI-745-CT-UX-03","TE-LOCAL-INT2-SPRINT-11-12-13","PASS","étapes 4/4, assertions 2/2","ORI-745"
"TC-ORI-745-CT-UX-04","TE-LOCAL-INT2-SPRINT-11-12-13","PASS","étapes 4/4, assertions 2/2","ORI-745"
"TC-ORI-745-CT-UX-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/4","ORI-745"
"TC-ORI-745-CT-UX-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur l'element +N"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-745"
"TC-ORI-745-CT-UX-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Parcourir chaque page impactee"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-745"
"TC-ORI-745-CT-UX-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur un icone 'Identite' menant a un formulaire"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-745"
"TC-ORI-769-CT-LOC-01","TE-LOCAL-INT2-SPRINT-11-12-13","PASS","étapes 4/4, assertions 1/2","ORI-769"
"TC-ORI-769-CT-LOC-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 2/2, assertions 0/2","ORI-769"
"TC-ORI-769-CT-LOC-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/4","ORI-769"
"TC-ORI-769-CT-LOC-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Simuler l'indisponibilite du service carto/GEOWS"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-769"
"TC-ORI-769-CT-LOC-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 2/2, assertions 0/2","ORI-769"
"TC-ORI-769-CT-LOC-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tester le zoom / clic sur le pin (si carte interactive)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-769"
"TC-ORI-769-CT-LOC-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/4","ORI-769"
"TC-ORI-368-CT-BSN-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/4","ORI-368"
"TC-ORI-368-CT-BSN-02","TE-LOCAL-INT2-SPRINT-11-12-13","PASS","étapes 4/4, assertions 1/3","ORI-368"
"TC-ORI-368-CT-BSN-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur l'en-tete Service"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-368"
"TC-ORI-368-CT-BSN-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""'Qualification en cours'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-368"
"TC-ORI-368-CT-BSN-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 3/3, assertions 0/3","ORI-368"
"TC-ORI-368-CT-BSN-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Modifier sur un besoin 'A qualifier'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-368"
"TC-ORI-368-CT-BSN-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 3/3, assertions 0/2","ORI-368"
"TC-ORI-368-CT-BSN-08","TE-LOCAL-INT2-SPRINT-11-12-13","PASS","étapes 5/5, assertions 1/4","ORI-368"
"TC-ORI-667-CT-FILT-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Refaire une recherche en variant casse et accents"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-667"
"TC-ORI-667-CT-FILT-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cocher 'A qualifier' seul"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-667"
"TC-ORI-667-CT-FILT-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cocher le statut 'A qualifier'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-667"
"TC-ORI-667-CT-FILT-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Appliquer une recherche + un filtre statut"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-667"
"TC-ORI-667-CT-FILT-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cocher un statut sans besoin associe"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-667"
"TC-ORI-667-CT-FILT-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cocher/decocher un statut"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-667"
"TC-ORI-995-CT-ABD-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""'Qualification en cours'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-995"
"TC-ORI-995-CT-ABD-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur Valider"" nécessite une action persistante (Valider) — bloquée par garde non-persistance","ORI-995"
"TC-ORI-995-CT-ABD-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter de valider sans commentaire"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-995"
"TC-ORI-995-CT-ABD-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter de cliquer sur Valider"" nécessite une action persistante (Valider) — bloquée par garde non-persistance","ORI-995"
"TC-ORI-995-CT-ABD-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur 'Retour'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-995"
"TC-ORI-995-CT-ABD-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/4","ORI-995"
"TC-ORI-1068-CT-RND-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Depuis la liste des besoins, cliquer Modifier sur un besoin 'A qualifi"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1068"
"TC-ORI-1068-CT-RND-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/4","ORI-1068"
"TC-ORI-1068-CT-RND-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Precedent"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1068"
"TC-ORI-1068-CT-RND-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Changer le champ source pour une valeur non declenchante"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1068"
"TC-ORI-1068-CT-RND-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Laisser un champ obligatoire vide"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1068"
"TC-ORI-1068-CT-RND-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer Enregistrer"" nécessite une action persistante (Enregistrer) — bloquée par garde non-persistance","ORI-1068"
"TC-ORI-1068-CT-RND-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Completer toutes les etapes"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1068"
"TC-ORI-1068-CT-RND-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Sauvegarder partiellement un besoin (version V1)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1068"
"TC-ORI-1068-CT-RND-09","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur la croix X"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-1068"
"TC-ORI-452-CT-DUR-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Recevoir les pointages debut/fin donnant une duree realisee > planifie"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-452"
"TC-ORI-452-CT-DUR-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Recevoir les pointages donnant une duree realisee < planifiee - seuil"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-452"
"TC-ORI-452-CT-DUR-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Recevoir les pointages donnant une duree realisee dans la plage tolere"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-452"
"TC-ORI-452-CT-DUR-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Recevoir des pointages donnant realisee = planifiee + seuil"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-452"
"TC-ORI-452-CT-DUR-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Provoquer un meme ecart sur 2 interventions de familles differentes"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-452"
"TC-ORI-452-CT-DUR-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Declencher une notification (cas non conforme)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-452"
"TC-ORI-688-CT-PTG-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 3/3, assertions 0/1","ORI-688"
"TC-ORI-688-CT-PTG-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/4","ORI-688"
"TC-ORI-688-CT-PTG-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Intervention avec pointage declare seul (pas de force)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-688"
"TC-ORI-688-CT-PTG-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Survoler la carte d'une intervention"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-688"
"TC-ORI-688-CT-PTG-05","TE-LOCAL-INT2-SPRINT-11-12-13","PASS","étapes 4/4, assertions 1/2","ORI-688"
"TC-ORI-688-CT-PTG-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Recevoir un pointage declare, rafraichir"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-688"
"TC-ORI-728-CT-DIS-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre le message Kafka de creation avec intervenant disponible"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-728"
"TC-ORI-728-CT-DIS-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre le message avec intervenant indisponible pour la serie"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-728"
"TC-ORI-728-CT-DIS-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre le message avec intervenant disponible serie mais en conflit s"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-728"
"TC-ORI-728-CT-DIS-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre le message avec un chevauchement sur un element 'Annule'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-728"
"TC-ORI-728-CT-DIS-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre le message sans intervenant (statut Planifiee)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-728"
"TC-ORI-728-CT-DIS-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre le message avec conflits uniquement ponctuels"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-728"
"TC-ORI-728-CT-DIS-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre un message de modification avec intervenant disponible"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-728"
"TC-ORI-750-CT-ERR-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre un message avec un champ obligatoire manquant"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre le message avec un idAgence inconnu"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre le message avec un idClient inconnu"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre le message avec un intervenant indisponible pour la serie"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre un message de creation avec un idSerieInterventions existant"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Declencher une erreur (ex agence inconnue)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre une modification avec un message non conforme"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre un message avec un champ obligatoire manquant"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre le message avec un idAgence inconnu"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre le message avec un idClient inconnu"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre le message avec un intervenant indisponible pour la serie"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre un message de creation avec un idSerieInterventions existant"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Declencher une erreur (ex agence inconnue)"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-750-CT-ERR-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Emettre une modification avec un message non conforme"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-750"
"TC-ORI-790-CT-AF-01","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur la fleche/carte d'une activite"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-790"
"TC-ORI-790-CT-AF-02","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur le lien 'Selection des activites'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-790"
"TC-ORI-790-CT-AF-03","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/1","ORI-790"
"TC-ORI-790-CT-AF-04","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 5/5, assertions 0/4","ORI-790"
"TC-ORI-790-CT-AF-05","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Tenter un volume vide/negatif"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-790"
"TC-ORI-790-CT-AF-06","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur 'Valider'"" nécessite une action persistante (Valider) — bloquée par garde non-persistance","ORI-790"
"TC-ORI-790-CT-AF-07","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","Étape ""Cliquer sur la fleche retour / 'Selection des activites'"" : élément cible introuvable sur INT2 (parcours bloqué ici)","ORI-790"
"TC-ORI-790-CT-AF-08","TE-LOCAL-INT2-SPRINT-11-12-13","FAIL","étapes 4/4, assertions 0/4","ORI-790"
